"Number Range","Operators"
"525x-xxxx","Mauritius Telecom"
"526x-xxxx","Mauritius Telecom"
"527x-xxxx","MTML"
"528x-xxxx","MTML"
"529x-xxxx","MTML"
"5421-xxxx","Emtel Ltd"
"5422-xxxx","Emtel Ltd"
"5423-xxxx","Emtel Ltd"
"5428-xxxx","Emtel Ltd"
"5429-xxxx","Emtel Ltd"
"543x-xxxx","Emtel Ltd"
"544x-xxxx","Emtel Ltd"
"545x-xxxx","Emtel Ltd"
"546x-xxxx","Emtel Ltd"
"5471-xxxx","Mauritius Telecom"
"5472-xxxx","Emtel Ltd"
"5473-xxxx","Emtel Ltd"
"5474-xxxx","Emtel Ltd"
"5475-xxxx","Emtel Ltd"
"5476-xxxx","Emtel Ltd"
"5477-xxxx","Emtel Ltd"
"5478-xxxx","Emtel Ltd"
"5479-xxxx","Emtel Ltd"
"548x-xxxx","Emtel"
"5490-xxxx","Emtel Ltd"
"5491-xxxx","Emtel Ltd"
"5492-xxxx","Emtel Ltd"
"5493-xxxx","Emtel Ltd"
"5494-xxxx","Emtel Ltd"
"5495-xxxx","Emtel Ltd"
"5496-xxxx","Emtel Ltd"
"5497-xxxx","Emtel Ltd"
"5498-xxxx","Emtel Ltd"
"5499-xxxx","Emtel Ltd"
"550x-xxxx","Mauritius Telecom"
"551x-xxxx","Emtel Ltd"
"552x xxxx","MTML"
"553x-xxxx","Mauritius Telecom"
"570x xxxx","Mauritius Telecom"
"571x-xxxx","Emtel Ltd"
"572x-xxxx","Emtel Ltd"
"573x-xxxx","Emtel Ltd"
"574x-xxxx","Emtel Ltd"
"575x-xxxx","Mauritius Telecom"
"576x-xxxx","Mauritius Telecom"
"577x-xxxx","Mauritius Telecom"
"578x-xxxx","Mauritius Telecom"
"579x xxxx","Mauritius Telecom"
"580x xxxx","Mauritius Telecom"
"581x xxxx","Mauritius Telecom"
"582x xxxx","Mauritius Telecom"
"583x xxxx","Mauritius Telecom"
"584x-xxxx","Emtel Ltd"
"585x-xxxx","Emtel Ltd"
"586x xxxx","MTML"
"5871-xxxx","MTML"
"5875 xxxx","Mauritius Telecom"
"5876 xxxx","Mauritius Telecom"
"5877 xxxx","Mauritius Telecom"
"5878 xxxx","Mauritius Telecom"
"588x xxxx","MTML"
"589x xxxx","MTML"
"590x xxxx","Mauritius Telecom"
"591x xxxx","Mauritius Telecom"
"592x xxxx","Mauritius Telecom"
"593x-xxxx","Emtel Ltd"
"594x xxxx","Mauritius Telecom"
"595x-xxxx","MTML"
"596x-xxxx","MTML"
"597x-xxxx","Emtel Ltd"
"598x-xxxx","Emtel Ltd"
"700x xxxx","Mauritius Telecom"
"701x xxxx","Emtel Ltd"
"702x xxxx","MTML"
"703x xxxx","Emtel Ltd"
"704x xxxx","Emtel Ltd"
"730x xxxx","Emtel Ltd"
"731x xxxx","MTML"
"733x xxxx","Mauritius Telecom"
